foundation,grantee,state,city,grant_year,grant_allocation,grant_purpose,grantee_work
MRBF,Southwest Georgia Project,GA,Albany,2018,10000,General Operating,
MRBF,"Anderson Interfaith Ministries, Inc",SC,Anderson,2017,175000,General Operating,
MRBF,Appalachia Funders Network,NC,Asheville,2018,60000,General Operating,
MRBF,Athens Land Trust,GA,Athens,2017,150000,General Operating,
MRBF,Athens Land Trust,GA,Athens,2018,15000,General Operating,
MRBF,"Economic Justice Coalition, Inc.",GA,Athens,2018,10000,General Operating,
MRBF,AEO Democratizing Rural Electric Cooperatives Working Group,GA,Atlanta,2018,65000,Regranting and Project Support,
MRBF,BVM Capacity Building Institute,GA,Atlanta,2018,15000,General Operating,
MRBF,Delivering on the Dream - Georgia,GA,Atlanta,2018,50000,General Operating,
MRBF,Enterprise Community Partners,GA,Atlanta,2018,75000,Project Support,
MRBF,GALEO Latino Community Development Fund,GA,Atlanta,2017,50000,General Operating,
MRBF,GALEO Latino Community Development Fund,GA,Atlanta,2018,150000,General Operating,
MRBF,Georgia ACT Inc,GA,Atlanta,2017,170000,General Operating,
MRBF,Georgia Budget and Policy Institute,GA,Atlanta,2017,200000,General Operating,
MRBF,Georgia Latino Alliance for Human Rights,GA,Atlanta,2017,150000,General Operating,
MRBF,Georgia Wand Education Fund,GA,Atlanta,2018,15000,General Operating,
MRBF,Georgia STAND-UP,GA,Atlanta,2017,300000,General Operating,
MRBF,Partnership for Southern Equity,GA,Atlanta,2018,15000,General Operating,
MRBF,ProGeorgia,GA,Atlanta,2017,250000,General Operating,
MRBF,ProGeorgia,GA,Atlanta,2018,300000,Regranting,
MRBF,Project South,GA,Atlanta,2017,250000,General Operating,
MRBF,Project South,GA,Atlanta,2018,5000,General Operating,
MRBF,"Southern Partners Fund, Inc.",GA,Atlanta,2017,75000,General Operating,
MRBF,"Southern Partners Fund, Inc.",GA,Atlanta,2018,300000,General Operating and Regranting,
MRBF,Southerners on New Ground,GA,Atlanta,2017,100000,General Operating,
MRBF,Southerners on New Ground,GA,Atlanta,2018,100000,General Operating,
MRBF,Women Engaged,GA,Atlanta,2018,50000,General Operating,
MRBF,Georgia Shift,GA,Augusta,2017,15000,General Operating,
MRBF,Louisiana Budget Project,LA,Baton Rouge,2017,150000,General Operating,
MRBF,Central Appalachian Network,KY,Berea,2017,225000,General Operating,
MRBF,Community Farm Alliance,KY,Berea,2017,150000,General Operating,
MRBF,"Federation of Appalachian Housing, Inc.",KY,Berea,2016,1340000,Uplift America Fund,
MRBF,Mountain Association for Community,KY,Berea,2018,550000,General Operating,
MRBF,Faith in Action Alabama,AL,Birmingham,2018,15000,General Operating,
MRBF,Faith in Action Alabama,AL,Birmingham,2018,120000,General Operating,
MRBF,Greater Birmingham Ministries,AL,Birmingham,2017,75000,General Operating,
MRBF,Women's Fund of Greater Birmingham,AL,Birmingham,2018,200000,General Operating,
MRBF,Appalachian Voices,NC,Boone,2017,50000,Project Support,
MRBF,Appalachian Voices,NC,Boone,2018,75000,Project Support,
