foundation,state,city,allocation
ACF,KY,Lexington,1800
ACF,KY,Whitesburg,1000
ACF,TN,Duff,1500
ACF,TN,Eagan,1500
ACF,TN,Knoxville,1000
ACF,VA,Abingdon,2000
ACF,VA,Gate City,1000
BCM,LA,Baton Rouge,578639
BCM,LA,Covington,169440
BCM,LA,Harvey,10500
BCM,LA,Metairie,154085
BCM,LA,New Orleans,7012477
BCM,LA,Waggaman,300
BCM,TX,Austin,49187
Contigo Fund,CO,Boulder,30000
Contigo Fund,DC,Washington,37700
Contigo Fund,FL,Apopka,52000
Contigo Fund,FL,Aventura,5000
Contigo Fund,FL,Clearwater,10000
Contigo Fund,FL,Davie,5000
Contigo Fund,FL,Fort Lauderdale,83623
Contigo Fund,FL,"Fort Lauderdale, FL",30000
Contigo Fund,FL,Ft. Lauderdale,97535
Contigo Fund,FL,Lake Worth,10250
Contigo Fund,FL,Maitland,30000
Contigo Fund,FL,Miami,57750
Contigo Fund,FL,Miami Beach,5000
Contigo Fund,FL,Orlando,310997
Contigo Fund,FL,Pompano Beach,6000
Contigo Fund,FL,St. Petersburg,81500
Contigo Fund,FL,West Palm Beach,5000
Contigo Fund,FL,Wilton Manors,222443
Contigo Fund,KS,Lenexa,15000
Contigo Fund,NY,New York,208714
FFL,AL,Montgomery,5000
FFL,GA,Atlanta,166000
FFL,LA,Baton Rouge,232500
FFL,LA,Franklin,10000
FFL,LA,Gretna,60000
FFL,LA,Monroe,10000
FFL,LA,New Orleans,1053550
FFL,LA,Shreveport,25000
FFL,LA,Thibodaux,30000
FFL,NC,Asheville,15000
FFL,NY,New York,100000
FFL,TX,Harlingen,15000
GNOF,AL,Auburn,100000
GNOF,AL,Mobile,20000
GNOF,AL,Montgomery,8300
GNOF,AR,Bentonville,50000
GNOF,FL,Pembroke Park,9337
GNOF,FL,Tallahassee,6000
GNOF,GA,Atlanta,21500
GNOF,LA,Arabi,19801
GNOF,LA,Avondale,5399
GNOF,LA,Baton Rouge,2933204
GNOF,LA,Belle Chasse,15882
GNOF,LA,Bourg,9188
GNOF,LA,Chalmette,14000
GNOF,LA,Chauvin,5000
GNOF,LA,Collinston,8735
GNOF,LA,Covington,71115
GNOF,LA,Destrehan,37985
GNOF,LA,Folsom,8142
GNOF,LA,Golden Meadow,21712
GNOF,LA,Gretna,35092
GNOF,LA,Hammond,10500
GNOF,LA,Harahan,9661
GNOF,LA,Houma,326523
GNOF,LA,Jefferson,46929
GNOF,LA,Kenner,12390
