foundation,state,allocation
ACF,KY,2800
ACF,TN,4000
ACF,VA,3000
BCM,LA,7925441
BCM,TX,49187
Contigo Fund,CO,30000
Contigo Fund,DC,37700
Contigo Fund,FL,1012098
Contigo Fund,KS,15000
Contigo Fund,NY,208714
FFL,AL,5000
FFL,GA,166000
FFL,LA,1421050
FFL,NC,15000
FFL,NY,100000
FFL,TX,15000
GNOF,AL,128300
GNOF,AR,50000
GNOF,FL,15337
GNOF,GA,21500
GNOF,LA,22351644
GNOF,MS,30000
GNOF,NC,104000
GNOF,TN,88804
GNOF,TX,64693
GNOF,VA,185950
GNOF,WV,10000
KBR,NC,12046402
MRBF,AL,1045000
MRBF,AR,565000
MRBF,GA,3880000
MRBF,KY,5370000
MRBF,LA,1140000
MRBF,MS,3020000
MRBF,NC,4608106
MRBF,SC,3931311
MRBF,TN,15000
MRBF,WV,1005000
WRF,AR,2993962
WRF,GA,10000
WRF,NC,500000
ZSR,NC,11898712
ZSR,SC,11000
