foundation,state,grant_year,allocation
ACF,KY,2018,2800
ACF,TN,2018,4000
ACF,VA,2018,3000
BCM,LA,2019,7925441
BCM,TX,2019,49187
Contigo Fund,CO,2018,30000
Contigo Fund,DC,2018,37700
Contigo Fund,FL,2018,1012098
Contigo Fund,KS,2018,15000
Contigo Fund,NY,2018,208714
FFL,AL,2017,5000
FFL,GA,2017,166000
FFL,LA,2017,1421050
FFL,NC,2017,15000
FFL,NY,2017,100000
FFL,TX,2017,15000
GNOF,AL,2018,128300
GNOF,AR,2018,50000
GNOF,FL,2018,15337
GNOF,GA,2018,21500
GNOF,LA,2018,22351644
GNOF,MS,2018,30000
GNOF,NC,2018,104000
GNOF,TN,2018,88804
GNOF,TX,2018,64693
GNOF,VA,2018,185950
GNOF,WV,2018,10000
KBR,NC,2019,12046402
MRBF,AL,2017,335000
MRBF,AL,2018,710000
MRBF,AR,2016,150000
MRBF,AR,2017,250000
MRBF,AR,2018,165000
MRBF,GA,2017,2300000
MRBF,GA,2018,1580000
MRBF,KY,2016,3382500
MRBF,KY,2017,735000
MRBF,KY,2018,1252500
MRBF,LA,2017,725000
MRBF,LA,2018,415000
MRBF,MS,2016,2540000
MRBF,MS,2017,400000
MRBF,MS,2018,80000
MRBF,NC,2016,1798106
MRBF,NC,2017,725000
MRBF,NC,2018,2085000
MRBF,SC,2016,1380000
MRBF,SC,2017,1065000
MRBF,SC,2018,1486311
MRBF,TN,2018,15000
MRBF,WV,2017,300000
MRBF,WV,2018,705000
WRF,AR,2016,65000
WRF,AR,2018,2928962
WRF,GA,2018,10000
WRF,NC,2016,500000
ZSR,NC,2018,11898712
ZSR,SC,2018,11000
