a_state_code,a_state_name,b_state_code,b_state_name,b_county_fips,b_county_name,inflow,outflow,net_migration
1,Alabama,1,Alabama,1,Autauga County,4147,2645,1502
1,Alabama,1,Alabama,3,Baldwin County,3194,4286,-1092
1,Alabama,1,Alabama,5,Barbour County,1139,893,246
1,Alabama,1,Alabama,7,Bibb County,1282,1631,-349
1,Alabama,1,Alabama,9,Blount County,2837,1500,1337
1,Alabama,1,Alabama,11,Bullock County,642,166,476
1,Alabama,1,Alabama,13,Butler County,706,303,403
1,Alabama,1,Alabama,15,Calhoun County,3274,5020,-1746
1,Alabama,1,Alabama,17,Chambers County,874,896,-22
1,Alabama,1,Alabama,19,Cherokee County,771,722,49
1,Alabama,1,Alabama,21,Chilton County,1192,1074,118
1,Alabama,1,Alabama,23,Choctaw County,434,172,262
1,Alabama,1,Alabama,25,Clarke County,788,238,550
1,Alabama,1,Alabama,27,Clay County,255,230,25
1,Alabama,1,Alabama,29,Cleburne County,378,428,-50
1,Alabama,1,Alabama,31,Coffee County,1764,2769,-1005
1,Alabama,1,Alabama,33,Colbert County,2566,1679,887
1,Alabama,1,Alabama,35,Conecuh County,587,180,407
1,Alabama,1,Alabama,37,Coosa County,410,691,-281
1,Alabama,1,Alabama,39,Covington County,977,967,10
1,Alabama,1,Alabama,41,Crenshaw County,459,353,106
1,Alabama,1,Alabama,43,Cullman County,2405,1767,638
1,Alabama,1,Alabama,45,Dale County,2261,1810,451
1,Alabama,1,Alabama,47,Dallas County,1459,975,484
1,Alabama,1,Alabama,49,DeKalb County,2062,2376,-314
1,Alabama,1,Alabama,51,Elmore County,4752,5659,-907
1,Alabama,1,Alabama,53,Escambia County,896,627,269
1,Alabama,1,Alabama,55,Etowah County,2959,3186,-227
1,Alabama,1,Alabama,57,Fayette County,567,626,-59
1,Alabama,1,Alabama,59,Franklin County,1017,1144,-127
1,Alabama,1,Alabama,61,Geneva County,963,543,420
1,Alabama,1,Alabama,63,Greene County,154,136,18
1,Alabama,1,Alabama,65,Hale County,810,329,481
1,Alabama,1,Alabama,67,Henry County,881,435,446
1,Alabama,1,Alabama,69,Houston County,3376,2202,1174
1,Alabama,1,Alabama,71,Jackson County,1183,826,357
1,Alabama,1,Alabama,73,Jefferson County,18122,17784,338
