Source,Target,inflow,weight
10,1,48,0.0048
11,1,212,0.0212
12,1,14362,1.4362
13,1,21417,2.1417
15,1,920,0.092
16,1,217,0.0217
17,1,2635,0.2635
18,1,1592,0.1592
19,1,508,0.0508
2,1,772,0.0772
20,1,909,0.0909
21,1,2173,0.2173
22,1,1745,0.1745
23,1,68,0.0068
24,1,1258,0.1258
25,1,733,0.0733
26,1,2568,0.2568
27,1,349,0.0349
28,1,7087,0.7087
29,1,1608,0.1608
30,1,335,0.0335
31,1,170,0.017
32,1,701,0.0701
33,1,150,0.015
34,1,731,0.0731
35,1,992,0.0992
36,1,2477,0.2477
37,1,4319,0.4319
38,1,306,0.0306
39,1,2531,0.2531
4,1,1236,0.1236
40,1,922,0.0922
41,1,447,0.0447
42,1,1440,0.144
44,1,233,0.0233
45,1,2071,0.2071
46,1,95,0.0095
47,1,8167,0.8167
48,1,6687,0.6687
49,1,813,0.0813
5,1,1073,0.1073
50,1,70,0.007
51,1,3480,0.348
53,1,767,0.0767
54,1,585,0.0585
55,1,563,0.0563
56,1,237,0.0237
6,1,4382,0.4382
72,1,300,0.03
8,1,1661,0.1661
9,1,650,0.065
AFR,1,601,0.0601
ASI,1,6236,0.6236
CAM,1,1429,0.1429
CAR,1,1214,0.1214
EUR,1,2728,0.2728
ISL,1,176,0.0176
NAM,1,424,0.0424
OCE,1,288,0.0288
SAM,1,881,0.0881
1,2,632,0.0632
10,2,35,0.0035
11,2,0,0
12,2,1561,0.1561
13,2,1126,0.1126
15,2,571,0.0571
16,2,488,0.0488
17,2,837,0.0837
18,2,254,0.0254
19,2,166,0.0166
20,2,701,0.0701
21,2,553,0.0553
22,2,421,0.0421
23,2,92,0.0092
24,2,311,0.0311
25,2,218,0.0218
26,2,469,0.0469
27,2,493,0.0493
28,2,140,0.014
29,2,829,0.0829
30,2,479,0.0479
31,2,128,0.0128
32,2,794,0.0794
33,2,111,0.0111
34,2,223,0.0223
35,2,366,0.0366
36,2,752,0.0752
37,2,1266,0.1266
38,2,77,0.0077
39,2,476,0.0476
4,2,1198,0.1198
40,2,573,0.0573
41,2,1449,0.1449
42,2,497,0.0497
44,2,49,0.0049
45,2,485,0.0485
46,2,192,0.0192
47,2,385,0.0385
48,2,2640,0.264
49,2,769,0.0769
5,2,164,0.0164
50,2,62,0.0062
51,2,523,0.0523
53,2,3669,0.3669
54,2,49,0.0049
55,2,548,0.0548
56,2,151,0.0151
6,2,2965,0.2965
72,2,239,0.0239
8,2,1775,0.1775
9,2,66,0.0066
AFR,2,73,0.0073
ASI,2,2940,0.294
CAM,2,457,0.0457
CAR,2,195,0.0195
EUR,2,1058,0.1058
ISL,2,275,0.0275
NAM,2,253,0.0253
OCE,2,291,0.0291
SAM,2,279,0.0279
1,4,1064,0.1064
10,4,613,0.0613
11,4,257,0.0257
12,4,8315,0.8315
13,4,3792,0.3792
15,4,2368,0.2368
16,4,3356,0.3356
17,4,10837,1.0837
18,4,3775,0.3775
19,4,3098,0.3098
2,4,2736,0.2736
20,4,2428,0.2428
21,4,1771,0.1771
22,4,1441,0.1441
23,4,579,0.0579
24,4,1719,0.1719
25,4,2584,0.2584
26,4,7542,0.7542
27,4,6239,0.6239
28,4,700,0.07
29,4,4338,0.4338
30,4,2033,0.2033
31,4,1751,0.1751
32,4,7514,0.7514
33,4,580,0.058
34,4,3437,0.3437
35,4,7928,0.7928
36,4,5602,0.5602
37,4,3882,0.3882
38,4,1540,0.154
39,4,4783,0.4783
40,4,4258,0.4258
41,4,8906,0.8906
42,4,5191,0.5191
44,4,671,0.0671
45,4,1263,0.1263
46,4,1842,0.1842
47,4,2468,0.2468
48,4,14272,1.4272
49,4,8388,0.8388
5,4,1027,0.1027
50,4,487,0.0487
51,4,4515,0.4515
53,4,13862,1.3862
54,4,407,0.0407
55,4,5570,0.557
56,4,1831,0.1831
6,4,55513,5.5513
72,4,865,0.0865
8,4,11000,1.1
9,4,1322,0.1322
AFR,4,1839,0.1839
ASI,4,14908,1.4908
CAM,4,13703,1.3703
CAR,4,964,0.0964
EUR,4,5242,0.5242
ISL,4,212,0.0212
NAM,4,7899,0.7899
OCE,4,597,0.0597
SAM,4,1766,0.1766
1,5,1112,0.1112
10,5,5,5e-04
11,5,156,0.0156
12,5,1903,0.1903
13,5,2482,0.2482
15,5,128,0.0128
16,5,157,0.0157
17,5,2846,0.2846
18,5,880,0.088
19,5,619,0.0619
2,5,372,0.0372
20,5,1466,0.1466
21,5,1011,0.1011
22,5,3260,0.326
23,5,14,0.0014
24,5,500,0.05
25,5,182,0.0182
26,5,990,0.099
27,5,463,0.0463
28,5,2983,0.2983
29,5,6912,0.6912
30,5,253,0.0253
31,5,401,0.0401
32,5,506,0.0506
33,5,79,0.0079
34,5,267,0.0267
35,5,399,0.0399
36,5,768,0.0768
37,5,1257,0.1257
38,5,68,0.0068
39,5,690,0.069
4,5,1091,0.1091
40,5,7161,0.7161
41,5,421,0.0421
42,5,831,0.0831
44,5,10,0.001
45,5,396,0.0396
46,5,49,0.0049
47,5,4655,0.4655
48,5,15042,1.5042
49,5,610,0.061
50,5,9,9e-04
51,5,1012,0.1012
53,5,1028,0.1028
54,5,146,0.0146
55,5,753,0.0753
56,5,107,0.0107
6,5,4807,0.4807
72,5,297,0.0297
8,5,2087,0.2087
9,5,247,0.0247
AFR,5,328,0.0328
ASI,5,3617,0.3617
CAM,5,1680,0.168
CAR,5,438,0.0438
EUR,5,1466,0.1466
ISL,5,74,0.0074
NAM,5,292,0.0292
OCE,5,222,0.0222
SAM,5,1050,0.105
1,6,5076,0.5076
10,6,853,0.0853
11,6,5003,0.5003
12,6,25058,2.5058
13,6,10998,1.0998
15,6,12903,1.2903
16,6,5631,0.5631
17,6,23198,2.3198
18,6,7049,0.7049
19,6,3358,0.3358
2,6,5708,0.5708
20,6,4712,0.4712
21,6,3589,0.3589
22,6,4970,0.497
23,6,1808,0.1808
24,6,9898,0.9898
25,6,13716,1.3716
26,6,10380,1.038
27,6,7834,0.7834
28,6,2538,0.2538
29,6,7310,0.731
30,6,2340,0.234
31,6,2545,0.2545
32,6,27177,2.7177
33,6,1119,0.1119
34,6,12343,1.2343
35,6,5989,0.5989
36,6,35382,3.5382
37,6,12934,1.2934
38,6,1518,0.1518
39,6,9447,0.9447
4,6,33080,3.308
40,6,5704,0.5704
41,6,20022,2.0022
42,6,13284,1.3284
44,6,1791,0.1791
45,6,6187,0.6187
46,6,1247,0.1247
47,6,6345,0.6345
48,6,38439,3.8439
49,6,11133,1.1133
5,6,3181,0.3181
50,6,897,0.0897
51,6,15900,1.59
53,6,33411,3.3411
54,6,702,0.0702
55,6,6841,0.6841
56,6,1570,0.157
72,6,2333,0.2333
8,6,20187,2.0187
9,6,5159,0.5159
AFR,6,9182,0.9182
ASI,6,166607,16.6607
CAM,6,57465,5.7465
CAR,6,2280,0.228
EUR,6,47380,4.738
ISL,6,1919,0.1919
NAM,6,11916,1.1916
OCE,6,7087,0.7087
SAM,6,12183,1.2183
1,8,2341,0.2341
10,8,279,0.0279
11,8,978,0.0978
12,8,11048,1.1048
13,8,5756,0.5756
15,8,2998,0.2998
16,8,1986,0.1986
17,8,9492,0.9492
18,8,2573,0.2573
19,8,3182,0.3182
2,8,1778,0.1778
20,8,5738,0.5738
21,8,1758,0.1758
22,8,2858,0.2858
23,8,364,0.0364
24,8,2864,0.2864
25,8,2163,0.2163
26,8,3218,0.3218
27,8,4192,0.4192
28,8,1060,0.106
29,8,5572,0.5572
30,8,1696,0.1696
31,8,3728,0.3728
32,8,3509,0.3509
33,8,828,0.0828
34,8,2811,0.2811
35,8,5979,0.5979
