a_state_code,a_state_name,b_state_code,b_state_name,inflow,outflow,net_migration
1,Alabama,10,Delaware,48,148,-100
1,Alabama,11,District of Columbia,212,310,-98
1,Alabama,12,Florida,14362,11524,2838
1,Alabama,13,Georgia,21417,17131,4286
1,Alabama,15,Hawaii,920,564,356
1,Alabama,16,Idaho,217,141,76
1,Alabama,17,Illinois,2635,1889,746
1,Alabama,18,Indiana,1592,1362,230
1,Alabama,19,Iowa,508,531,-23
1,Alabama,2,Alaska,772,632,140
1,Alabama,20,Kansas,909,670,239
1,Alabama,21,Kentucky,2173,1873,300
1,Alabama,22,Louisiana,1745,3805,-2060
1,Alabama,23,Maine,68,133,-65
1,Alabama,24,Maryland,1258,1170,88
1,Alabama,25,Massachusetts,733,396,337
1,Alabama,26,Michigan,2568,2468,100
1,Alabama,27,Minnesota,349,315,34
1,Alabama,28,Mississippi,7087,6467,620
1,Alabama,29,Missouri,1608,2094,-486
1,Alabama,30,Montana,335,140,195
1,Alabama,31,Nebraska,170,326,-156
1,Alabama,32,Nevada,701,705,-4
1,Alabama,33,New Hampshire,150,115,35
1,Alabama,34,New Jersey,731,305,426
1,Alabama,35,New Mexico,992,289,703
1,Alabama,36,New York,2477,1198,1279
1,Alabama,37,North Carolina,4319,3882,437
1,Alabama,38,North Dakota,306,123,183
1,Alabama,39,Ohio,2531,2009,522
1,Alabama,4,Arizona,1236,1064,172
1,Alabama,40,Oklahoma,922,871,51
1,Alabama,41,Oregon,447,297,150
1,Alabama,42,Pennsylvania,1440,1432,8
1,Alabama,44,Rhode Island,233,191,42
1,Alabama,45,South Carolina,2071,2408,-337
1,Alabama,46,South Dakota,95,41,54
1,Alabama,47,Tennessee,8167,8697,-530
1,Alabama,48,Texas,6687,7839,-1152
1,Alabama,49,Utah,813,487,326
1,Alabama,5,Arkansas,1073,1112,-39
1,Alabama,50,Vermont,70,43,27
1,Alabama,51,Virginia,3480,3050,430
1,Alabama,53,Washington,767,1110,-343
1,Alabama,54,West Virginia,585,268,317
1,Alabama,55,Wisconsin,563,538,25
1,Alabama,56,Wyoming,237,177,60
1,Alabama,6,California,4382,5076,-694
1,Alabama,72,Puerto Rico,300,318,-18
1,Alabama,8,Colorado,1661,2341,-680
1,Alabama,9,Connecticut,650,408,242
1,Alabama,AFR,Africa,601,0,0
1,Alabama,ASI,Asia,6236,0,0
1,Alabama,CAM,Central America,1429,0,0
1,Alabama,CAR,Caribbean,1214,0,0
1,Alabama,EUR,Europe,2728,0,0
1,Alabama,ISL,U.S. Island Areas,176,0,0
1,Alabama,NAM,Northern America,424,0,0
1,Alabama,OCE,Oceania and At Sea,288,0,0
1,Alabama,SAM,South America,881,0,0
5,Arkansas,1,Alabama,1112,1073,39
5,Arkansas,10,Delaware,5,0,5
5,Arkansas,11,District of Columbia,156,86,70
5,Arkansas,12,Florida,1903,3453,-1550
5,Arkansas,13,Georgia,2482,1866,616
5,Arkansas,15,Hawaii,128,72,56
5,Arkansas,16,Idaho,157,693,-536
5,Arkansas,17,Illinois,2846,1789,1057
5,Arkansas,18,Indiana,880,962,-82
5,Arkansas,19,Iowa,619,916,-297
5,Arkansas,2,Alaska,372,164,208
5,Arkansas,20,Kansas,1466,1406,60
5,Arkansas,21,Kentucky,1011,496,515
5,Arkansas,22,Louisiana,3260,2257,1003
5,Arkansas,23,Maine,14,2,12
5,Arkansas,24,Maryland,500,281,219
5,Arkansas,25,Massachusetts,182,352,-170
5,Arkansas,26,Michigan,990,1339,-349
5,Arkansas,27,Minnesota,463,655,-192
5,Arkansas,28,Mississippi,2983,2045,938
5,Arkansas,29,Missouri,6912,7855,-943
5,Arkansas,30,Montana,253,429,-176
5,Arkansas,31,Nebraska,401,407,-6
5,Arkansas,32,Nevada,506,526,-20
5,Arkansas,33,New Hampshire,79,262,-183
5,Arkansas,34,New Jersey,267,224,43
5,Arkansas,35,New Mexico,399,221,178
5,Arkansas,36,New York,768,714,54
5,Arkansas,37,North Carolina,1257,865,392
5,Arkansas,38,North Dakota,68,127,-59
5,Arkansas,39,Ohio,690,1146,-456
5,Arkansas,4,Arizona,1091,1027,64
5,Arkansas,40,Oklahoma,7161,7411,-250
5,Arkansas,41,Oregon,421,640,-219
5,Arkansas,42,Pennsylvania,831,862,-31
5,Arkansas,44,Rhode Island,10,57,-47
5,Arkansas,45,South Carolina,396,1071,-675
5,Arkansas,46,South Dakota,49,106,-57
5,Arkansas,47,Tennessee,4655,5796,-1141
5,Arkansas,48,Texas,15042,13600,1442
5,Arkansas,49,Utah,610,634,-24
5,Arkansas,50,Vermont,9,4,5
5,Arkansas,51,Virginia,1012,695,317
5,Arkansas,53,Washington,1028,1229,-201
5,Arkansas,54,West Virginia,146,167,-21
5,Arkansas,55,Wisconsin,753,623,130
5,Arkansas,56,Wyoming,107,242,-135
5,Arkansas,6,California,4807,3181,1626
5,Arkansas,72,Puerto Rico,297,48,249
5,Arkansas,8,Colorado,2087,1514,573
5,Arkansas,9,Connecticut,247,204,43
5,Arkansas,AFR,Africa,328,0,0
5,Arkansas,ASI,Asia,3617,0,0
5,Arkansas,CAM,Central America,1680,0,0
5,Arkansas,CAR,Caribbean,438,0,0
5,Arkansas,EUR,Europe,1466,0,0
5,Arkansas,ISL,U.S. Island Areas,74,0,0
5,Arkansas,NAM,Northern America,292,0,0
5,Arkansas,OCE,Oceania and At Sea,222,0,0
5,Arkansas,SAM,South America,1050,0,0
12,Florida,1,Alabama,11524,14362,-2838
12,Florida,10,Delaware,2317,1057,1260
12,Florida,11,District of Columbia,1416,1883,-467
12,Florida,13,Georgia,39554,43536,-3982
12,Florida,15,Hawaii,1696,2340,-644
12,Florida,16,Idaho,1164,906,258
12,Florida,17,Illinois,24113,12767,11346
12,Florida,18,Indiana,12872,8652,4220
12,Florida,19,Iowa,4280,3007,1273
12,Florida,2,Alaska,4713,1561,3152
12,Florida,20,Kansas,3016,3106,-90
