a_state_code,a_state_name,b_state_code,b_state_name,inflow,outflow,net_migration
1,Alabama,10,Delaware,48,148,-100
1,Alabama,11,District of Columbia,212,310,-98
1,Alabama,12,Florida,14362,11524,2838
1,Alabama,13,Georgia,21417,17131,4286
1,Alabama,15,Hawaii,920,564,356
1,Alabama,16,Idaho,217,141,76
1,Alabama,17,Illinois,2635,1889,746
1,Alabama,18,Indiana,1592,1362,230
1,Alabama,19,Iowa,508,531,-23
1,Alabama,2,Alaska,772,632,140
1,Alabama,20,Kansas,909,670,239
1,Alabama,21,Kentucky,2173,1873,300
1,Alabama,22,Louisiana,1745,3805,-2060
1,Alabama,23,Maine,68,133,-65
1,Alabama,24,Maryland,1258,1170,88
1,Alabama,25,Massachusetts,733,396,337
1,Alabama,26,Michigan,2568,2468,100
1,Alabama,27,Minnesota,349,315,34
1,Alabama,28,Mississippi,7087,6467,620
1,Alabama,29,Missouri,1608,2094,-486
1,Alabama,30,Montana,335,140,195
1,Alabama,31,Nebraska,170,326,-156
1,Alabama,32,Nevada,701,705,-4
1,Alabama,33,New Hampshire,150,115,35
1,Alabama,34,New Jersey,731,305,426
1,Alabama,35,New Mexico,992,289,703
1,Alabama,36,New York,2477,1198,1279
1,Alabama,37,North Carolina,4319,3882,437
1,Alabama,38,North Dakota,306,123,183
1,Alabama,39,Ohio,2531,2009,522
1,Alabama,4,Arizona,1236,1064,172
1,Alabama,40,Oklahoma,922,871,51
1,Alabama,41,Oregon,447,297,150
1,Alabama,42,Pennsylvania,1440,1432,8
1,Alabama,44,Rhode Island,233,191,42
1,Alabama,45,South Carolina,2071,2408,-337
1,Alabama,46,South Dakota,95,41,54
1,Alabama,47,Tennessee,8167,8697,-530
1,Alabama,48,Texas,6687,7839,-1152
1,Alabama,49,Utah,813,487,326
1,Alabama,5,Arkansas,1073,1112,-39
1,Alabama,50,Vermont,70,43,27
1,Alabama,51,Virginia,3480,3050,430
1,Alabama,53,Washington,767,1110,-343
1,Alabama,54,West Virginia,585,268,317
1,Alabama,55,Wisconsin,563,538,25
1,Alabama,56,Wyoming,237,177,60
1,Alabama,6,California,4382,5076,-694
1,Alabama,72,Puerto Rico,300,318,-18
1,Alabama,8,Colorado,1661,2341,-680
1,Alabama,9,Connecticut,650,408,242
1,Alabama,AFR,Africa,601,0,0
1,Alabama,ASI,Asia,6236,0,0
1,Alabama,CAM,Central America,1429,0,0
1,Alabama,CAR,Caribbean,1214,0,0
1,Alabama,EUR,Europe,2728,0,0
1,Alabama,ISL,U.S. Island Areas,176,0,0
1,Alabama,NAM,Northern America,424,0,0
1,Alabama,OCE,Oceania and At Sea,288,0,0
1,Alabama,SAM,South America,881,0,0
2,Alaska,1,Alabama,632,772,-140
2,Alaska,10,Delaware,35,232,-197
2,Alaska,11,District of Columbia,0,182,-182
2,Alaska,12,Florida,1561,4713,-3152
2,Alaska,13,Georgia,1126,1993,-867
2,Alaska,15,Hawaii,571,724,-153
2,Alaska,16,Idaho,488,1797,-1309
2,Alaska,17,Illinois,837,1429,-592
2,Alaska,18,Indiana,254,314,-60
2,Alaska,19,Iowa,166,891,-725
2,Alaska,20,Kansas,701,595,106
2,Alaska,21,Kentucky,553,587,-34
2,Alaska,22,Louisiana,421,633,-212
2,Alaska,23,Maine,92,224,-132
2,Alaska,24,Maryland,311,816,-505
2,Alaska,25,Massachusetts,218,903,-685
2,Alaska,26,Michigan,469,1832,-1363
2,Alaska,27,Minnesota,493,734,-241
2,Alaska,28,Mississippi,140,184,-44
2,Alaska,29,Missouri,829,1065,-236
2,Alaska,30,Montana,479,824,-345
2,Alaska,31,Nebraska,128,415,-287
2,Alaska,32,Nevada,794,1361,-567
2,Alaska,33,New Hampshire,111,286,-175
2,Alaska,34,New Jersey,223,575,-352
2,Alaska,35,New Mexico,366,948,-582
2,Alaska,36,New York,752,2497,-1745
2,Alaska,37,North Carolina,1266,2270,-1004
2,Alaska,38,North Dakota,77,211,-134
2,Alaska,39,Ohio,476,647,-171
2,Alaska,4,Arizona,1198,2736,-1538
2,Alaska,40,Oklahoma,573,972,-399
2,Alaska,41,Oregon,1449,2559,-1110
2,Alaska,42,Pennsylvania,497,876,-379
2,Alaska,44,Rhode Island,49,60,-11
2,Alaska,45,South Carolina,485,618,-133
2,Alaska,46,South Dakota,192,266,-74
2,Alaska,47,Tennessee,385,1063,-678
2,Alaska,48,Texas,2640,5025,-2385
2,Alaska,49,Utah,769,1477,-708
2,Alaska,5,Arkansas,164,372,-208
2,Alaska,50,Vermont,62,69,-7
2,Alaska,51,Virginia,523,1770,-1247
2,Alaska,53,Washington,3669,5264,-1595
2,Alaska,54,West Virginia,49,622,-573
2,Alaska,55,Wisconsin,548,489,59
2,Alaska,56,Wyoming,151,231,-80
2,Alaska,6,California,2965,5708,-2743
2,Alaska,72,Puerto Rico,239,41,198
2,Alaska,8,Colorado,1775,1778,-3
2,Alaska,9,Connecticut,66,874,-808
2,Alaska,AFR,Africa,73,0,0
2,Alaska,ASI,Asia,2940,0,0
2,Alaska,CAM,Central America,457,0,0
2,Alaska,CAR,Caribbean,195,0,0
2,Alaska,EUR,Europe,1058,0,0
2,Alaska,ISL,U.S. Island Areas,275,0,0
2,Alaska,NAM,Northern America,253,0,0
2,Alaska,OCE,Oceania and At Sea,291,0,0
2,Alaska,SAM,South America,279,0,0
4,Arizona,1,Alabama,1064,1236,-172
4,Arizona,10,Delaware,613,141,472
4,Arizona,11,District of Columbia,257,326,-69
4,Arizona,12,Florida,8315,7826,489
4,Arizona,13,Georgia,3792,4425,-633
4,Arizona,15,Hawaii,2368,2023,345
4,Arizona,16,Idaho,3356,2943,413
4,Arizona,17,Illinois,10837,4725,6112
4,Arizona,18,Indiana,3775,2371,1404
4,Arizona,19,Iowa,3098,2033,1065
4,Arizona,2,Alaska,2736,1198,1538
4,Arizona,20,Kansas,2428,1996,432
4,Arizona,21,Kentucky,1771,1013,758
