ID,Label
10,Delaware
11,District of Columbia
12,Florida
13,Georgia
15,Hawaii
16,Idaho
17,Illinois
18,Indiana
19,Iowa
2,Alaska
20,Kansas
21,Kentucky
22,Louisiana
23,Maine
24,Maryland
25,Massachusetts
26,Michigan
27,Minnesota
28,Mississippi
29,Missouri
30,Montana
31,Nebraska
32,Nevada
33,New Hampshire
34,New Jersey
35,New Mexico
36,New York
37,North Carolina
38,North Dakota
39,Ohio
4,Arizona
40,Oklahoma
41,Oregon
42,Pennsylvania
44,Rhode Island
45,South Carolina
46,South Dakota
47,Tennessee
48,Texas
49,Utah
5,Arkansas
50,Vermont
51,Virginia
53,Washington
54,West Virginia
55,Wisconsin
56,Wyoming
6,California
72,Puerto Rico
8,Colorado
9,Connecticut
AFR,Africa
ASI,Asia
CAM,Central America
CAR,Caribbean
EUR,Europe
ISL,U.S. Island Areas
NAM,Northern America
OCE,Oceania and At Sea
SAM,South America
1,Alabama
